Round,Gender,Surface,Name,Country,City,winner_ranking,loser_ranking,winner_h2h,loser_h2h,winner_total_losses,loser_total_losses,winner_surface_losses,loser_surface_losses,winner_total_wins,loser_total_wins,winner_surface_wins,loser_surface_wins,prediction
R16,Male,Grass,Nottingham,"United Kingdom",Nottingham,92,5,1,1,324,132,4102,899,12386,2692,5959,1290,1
R16,Male,Grass,Nottingham,"United Kingdom",Nottingham,92,5,1,1,324,132,4102,899,12386,2692,5959,1290,1
R16,Male,Grass,Nottingham,"United Kingdom",Nottingham,92,5,1,1,324,132,4102,899,12386,2692,5959,1290,1
R32,Male,Grass,"Mercedes Cup",Germany,Stuttgart,177,5,3,1,394,132,1843,899,3544,2692,1097,1290,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
